,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
99,"巴黎世家 至真
Balenciaga B. Balenciaga, 2014",9.2 分 267 人评价,巴黎世家,Domitille Bertier,女香,木质馥奇香调,紫罗兰叶,豌豆,雪松,铃兰,鸢尾根
100,"缪缪 同名
Miu Miu, 2015",8.4 分 1202 人评价,缪缪,Daniela (Roche) Andrier,女香,花香调,铃兰,绿叶,茉莉,亚基戛纳木,玫瑰
101,"迪奥 蓝色魅惑
Dior Addict, 2002",9 分 339 人评价,迪奥,Thierry Wasser,女香,东方花香调,香草,零陵香豆,檀香木,黑莓,苦橙叶
102,"娇兰 蓝调时光
Guerlain L'Heure Bleue, 1912",9.1 分 302 人评价,娇兰,Jacques Guerlain,女香,东方花香调,鸢尾花,天芥菜,康乃馨,紫罗兰,香草
103,"娇兰 花草水语-柑橘罗勒
Guerlain Aqua Allegoria Mandarine Basilic, 2007",8.7 分 527 人评价,娇兰,Marie Salamagne,女香,柑橘馥奇香调,克里曼丁红橘,橘子,罗勒,苦橙,橙花
104,"香奈儿 绅士
Chanel Pour Monsieur, 1955",9.3 分 259 人评价,香奈儿,Henri Robert,男香,甘苔调,柠檬,橡木苔,生姜,香根草,柠檬马鞭草
105,"宝格丽 夜茉莉
Bvlgari Jasmin Noir, 2008",8.6 分 544 人评价,宝格丽,Sophie Labbe,女香,东方花香调,茉莉,杏仁,栀子花,甘草,零陵香豆
106,"迪奥 桀骜新版
Dior Homme, 2011",9 分 338 人评价,迪奥,Francois Demachy,男香,木质花香调,鸢尾花,可可果,皮革,薰衣草,琥珀
107,"高田贤三 水之恋
Kenzo L'Eau par Kenzo, 1996",8.4 分 1030 人评价,高田贤三,Olivier Cresp,女香,水生花香调,睡莲,芦苇,薄荷,紫丁香,胡椒
108,"香奈儿 邂逅（黄邂逅）
Chanel Chance Eau de Toilette, 2003",8.5 分 746 人评价,香奈儿,Jacques Polge,女香,花香甘苔调,柠檬,广藿香,粉红胡椒,菠萝,茉莉
109,"宝格丽 大吉岭夜色（夜幽）
Bvlgari Pour Homme Soir, 2006",8.4 分 802 人评价,宝格丽,None,男香,木质花香调,茶叶,纸莎草,香柠檬,琥珀,水
110,"摩勒沃兹 4711原始古龙水
Maurer & Wirtz 4711 Original Eau de Cologne, 1792",8.4 分 771 人评价,摩勒沃兹,Wilhelm Muelhens,中性香,柑橘馥奇香调,柠檬,香柠檬,橙子,罗勒,茉莉
111,"香奈儿 蔚蓝淡香精
Chanel Bleu de Chanel Eau de Parfum, 2014",8.8 分 371 人评价,香奈儿,Jacques Polge,男香,木质馥奇香调,柠檬,葡萄柚,焚香,琥珀,香根草
112,"祖玛珑 红玫瑰
Jo Malone Red Roses, 2001",8.3 分 1172 人评价,祖玛珑,Lucien Piquet,女香,绿叶花香调,玫瑰,柠檬,蜂蜡,薄荷,紫罗兰叶
113,"博柏利 红粉恋歌
Burberry Brit Sheer, 2007",8.2 分 1561 人评价,博柏利,Emilie (Bevierre) Coppermann,女香,花香果香调,荔枝,日本柚子,牡丹,橘子,菠萝
114,"祖玛珑 杏桃花与蜂蜜
Jo Malone Nectarine Blossom & Honey, 2005",8.2 分 1414 人评价,祖玛珑,Jo Malone,中性香,花果香美食调,油桃,桃子,绿叶,李子,洋槐
115,"浪凡 琶音
Lanvin Arpege, 1927",8.6 分 485 人评价,浪凡,Andre Fraysse,女香,醛香花香调,醛,依兰,茉莉,檀香木,琥珀
116,"博柏利 风格男士
Burberry Brit for Men, 2004",8.5 分 623 人评价,博柏利,Antoine Maisondieu,男香,木质东方调,玫瑰,生姜,小豆蔻,橘子,零陵香豆
117,"圣罗兰 黑鸦片
YSL Yves Saint Laurent Black Opium, 2014",8.2 分 2146 人评价,圣罗兰,Marie Salamagne,Nathalie Lorson,Honorine Blanc,香草,咖啡,梨,茉莉,广藿香
118,"圣罗兰 鸦片（红鸦）
YSL Yves Saint Laurent Opium, 2009",8.6 分 491 人评价,圣罗兰,None,女香,辛辣东方调,没药,康乃馨,红没药,琥珀,广藿香
119,"马克·雅可布 小雏菊
Marc Jacobs Daisy, 2007",8.2 分 1355 人评价,马克·雅可布,Alberto Morillas,女香,木质花香调,紫罗兰叶,葡萄柚,紫罗兰,草莓,栀子花
120,"古驰 经典同名男士二代
Gucci Pour Homme II, 2007",9.1 分 271 人评价,古驰,Karine Dubreuil,男香,辛辣木质调,茶叶,肉桂,紫罗兰叶,烟草,甜椒
121,"宝格丽 水漾夜茉莉
Bvlgari Mon Jasmin Noir L'Eau Exquise, 2012",8.4 分 648 人评价,宝格丽,Sophie Labbe,女香,花香调,葡萄柚,茶叶,柚子,茉莉,麝香
122,"迪奥小姐
Dior Miss Dior (2012), 2012",8.5 分 527 人评价,迪奥,Francois Demachy,女香,花香甘苔调,广藿香,橘子,茉莉,玫瑰,麝香
123,"圣罗兰 鸦片
YSL Yves Saint Laurent Opium, 1977",9 分 298 人评价,圣罗兰,Raymond Chaillan,Jean-Louis Sieuzac,女香,焚香,公丁香,康乃馨,肉桂,檀香木
124,"祖玛珑 浓古龙-丝绒玫瑰与乌木
Jo Malone Velvet Rose & Oud, 2012",8.7 分 392 人评价,祖玛珑,Fabrice Pellegrin,中性香,东方花香调,玫瑰,沉香(乌木),果仁糖,公丁香,荔枝
125,"香奈儿 可可小姐淡香水
Chanel Coco Mademoiselle Eau de toilette, 2002",8.7 分 422 人评价,香奈儿,Jacques Polge,女香,木质东方调,广藿香,香柠檬,橙子,玫瑰,荔枝
126,"凯文克莱 唯一
Calvin Klein CK One, 1994",8.1 分 2101 人评价,凯文克莱,Alberto Morillas,中性香,柑橘馥奇香调,柠檬,绿叶,香柠檬,麝香,雪松
127,"高田贤三 一枝花（罂粟花/花样年华）
Kenzo Flower by Kenzo, 2000",8.3 分 820 人评价,高田贤三,Alberto Morillas,女香,东方花香调,紫罗兰,玫瑰,香草,麝香,焚香
128,"祖玛珑 牡丹与胭红麂绒
Jo Malone Peony & Blush Suede, 2013",8.3 分 739 人评价,祖玛珑,Christine Nagel,女香,花香调,牡丹,红苹果,绒面革,玫瑰,茉莉
129,"宝格丽 碧玺（晶欣）
Bvlgari Omnia Paraiba, 2015",8.6 分 404 人评价,宝格丽,Alberto Morillas,女香,花香果香调,百香果,西番莲,苦橙,栀子花,可可果
130,"古驰 绽放
Gucci Bloom, 2017",8.2 分 1043 人评价,古驰,Alberto Morillas,女香,花香调,晚香玉,茉莉,忍冬,鸢尾根,栀子花
131,"爱马仕 橘采星光淡香精（橘彩）
Hermes Elixir des Merveilles, 2006",8.5 分 463 人评价,爱马仕,Jean-Claude Ellena,女香,东方馥奇香调,树脂,橙子,焦糖,琥珀,秘鲁香脂
132,"爱马仕 凯莉驿马车
Hermes Kelly Caleche, 2007",8.5 分 442 人评价,爱马仕,Jean-Claude Ellena,女香,木质花香调,皮革,玫瑰,葡萄柚,鸢尾花,水仙花
133,"博柏利 裸纱（玲珑）
Burberry Body, 2011",8.4 分 610 人评价,博柏利,Michel Almairac,女香,果香甘苔调,玫瑰,桃子,麝香,苦艾,开司米木
134,"让·巴杜 喜悦
Jean Patou Joy, 1930",9.1 分 227 人评价,让·巴杜,Henri Almeras,女香,花香调,茉莉,玫瑰,晚香玉,依兰,麝香
135,"香奈儿 可可小姐黑色
Chanel Coco Noir, 2012",8.4 分 512 人评价,香奈儿,Jacques Polge,女香,木质花香调,广藿香,玫瑰,檀香木,乳香,葡萄柚
136,"爱马仕 法布街24号
Hermes 24 Faubourg, 1995",8.7 分 351 人评价,爱马仕,Maurice Roucel,女香,花香甘苔调,橙花,栀子花,琥珀,风信子,茉莉
137,"宝格丽 蓝茶男士
Bvlgari BLV Pour Homme, 2001",8.2 分 689 人评价,宝格丽,Alberto Morillas,男香,辛辣木质调,生姜,小豆蔻,烟草花,檀香木,南姜
138,"阿莎罗 同名男士（卡门情人）
Azzaro pour Homme, 1978",8.8 分 280 人评价,阿莎罗,Gerard Anthony,Martin Heiddenreich,男香,薰衣草,茴芹,橡木苔,柠檬,皮革
139,"圣罗兰 天之骄子
YSL Yves Saint Laurent L'Homme, 2006",8.5 分 435 人评价,圣罗兰,Anne Flipo,Dominique Ropion,男香,生姜,柠檬,辛香料,香柠檬,零陵香豆
140,"杰弗里·比尼 灰色法兰绒
Geoffrey Beene Grey Flannel, 1975",8 分 1131 人评价,杰弗里·比尼,Andre Fromentin,男香,木质东方调,紫罗兰,橡木苔,白松香,鸢尾花,橙花油
141,"祖玛珑 伯爵茶与黄瓜
Jo Malone Earl Grey & Cucumber, 2011",8.2 分 687 人评价,祖玛珑,Christine Nagel,中性香,馥奇香调,香柠檬,伯爵茶,黄瓜,麝香,蜂蜡
142,"浪凡 谣言（美丽传说）
Lanvin Rumeur, 2006",8.2 分 583 人评价,浪凡,Francis Kurkdjian,女香,木质花香调,木兰,铃兰,麝香,茉莉,玫瑰
143,"杜嘉班纳 唯我男士
Dolce&Gabbana The One for Men, 2008",8.7 分 303 人评价,杜嘉班纳,Stefano Gabbana,男香,辛辣木质调,琥珀,烟草,生姜,葡萄柚,小豆蔻
144,"博柏利 风格女士
Burberry Brit, 2003",8.2 分 661 人评价,博柏利,Nathalie Gracia-Cetto,女香,花香果香调,香草,杏仁,青柠,梨,零陵香豆
145,"汤姆·福特 午夜兰花（经典黑兰花）
Tom Ford Black Orchid, 2006",8.2 分 614 人评价,汤姆·福特,Givaudan,女香,东方花香调,黑巧克力,植物块茎,广藿香,香草,兰花
146,"高田贤三 毛竹（竹子）
Kenzo pour Homme, 1991",8.5 分 349 人评价,高田贤三,Christian Mathieu,男香,水生馥奇香调,海水,檀香木,冷杉,松树,橡木苔
147,"香奈儿 力度
Chanel Antaeus, 1981",8.9 分 245 人评价,香奈儿,Jacques Polge,男香,木质甘苔调,海狸香,橡木苔,广藿香,劳丹脂,玫瑰
148,"博柏利 绵羊宝贝
Burberry Baby Touch, 2002",8.2 分 586 人评价,博柏利,Michel Girard,中性香,柑橘美食调,柠檬马鞭草,香草,牛奶,大黄,橙子
149,"娇兰 瞬间男士
Guerlain L'Instant de Guerlain pour Homme, 2004",8.7 分 273 人评价,娇兰,Beatrice Piquet,男香,辛辣木质调,柠檬,可可果,檀香木,香柠檬,广藿香
150,"普拉达 鸢尾花男士
Prada Infusion d'Homme, 2008",8.8 分 268 人评价,普拉达,Daniela (Roche) Andrier,男香,木质馥奇香调,鸢尾花,脂粉味,橙花油,香根草,乳香
151,"高田贤三 禅风之竹
Kenzo Homme Boisee, 2010",8.8 分 268 人评价,高田贤三,Olivier Polge,男香,木质馥奇香调,香根草,罗勒,雪松,薄荷,胡椒
152,"香奈儿 19号淡香水
Chanel N°19 EDT, 1970",8.5 分 364 人评价,香奈儿,Henri Robert,女香,绿叶花香调,白松香,橡木苔,鸢尾花,风信子,香根草
153,"爱马仕 粉红葡萄柚
Hermes Eau de Pamplemousse Rose, 2009",8.4 分 382 人评价,爱马仕,Jean-Claude Ellena,中性香,柑橘馥奇香调,葡萄柚,橙子,玫瑰,香根草,粉红胡椒
154,"纪梵希 玩转浓情
Givenchy Play Intense, 2008",8.5 分 327 人评价,纪梵希,Lucas Sieuzac,男香,东方馥奇香调,咖啡,零陵香豆,粉红胡椒,广藿香,橘子
155,"祖玛珑 白茉莉与薄荷
Jo Malone White Jasmine & Mint, 2007",8.2 分 582 人评价,祖玛珑,David Apel,中性香,绿叶花香调,茉莉,薄荷,茶叶,香柠檬,洋甘菊
156,"约翰·瓦维托斯 艺术工匠（黄藤编）
John Varvatos Artisan, 2009",8.2 分 497 人评价,约翰·瓦维托斯,Rodrigo Flores-Roux,男香,柑橘馥奇香调,克里曼丁红橘,橙花,蜜橘,生姜,马郁兰
157,"保罗史密斯 故事
Paul Smith Story, 2006",9 分 206 人评价,保罗史密斯,Nathalie Gracia-Cetto,男香,花香果香调,香根草,常春藤,葡萄柚,香柠檬,雪松
158,"罗意威 001 事后清晨男士
Loewe 001 Man, 2016",8 分 701 人评价,罗意威,None,男香,木质花香调,檀香木,麝香,香柠檬,香根草,皮革
159,"D二次方 落基山木缘
DSQUARED² He Wood Rocky Mountain Wood, 2009",8.7 分 265 人评价,D二次方,None,男香,木质调,雪松,紫罗兰,香根草,胡椒,焚香
160,"高缇耶 裸男
Jean Paul Gaultier Le Male, 1995",8.2 分 440 人评价,高缇耶,Francis Kurkdjian,男香,东方馥奇香调,香草,薰衣草,薄荷,肉桂,零陵香豆
161,"三宅一生 气息
Issey Miyake A Scent by Issey Miyake, 2009",8.2 分 483 人评价,三宅一生,Daphne Bugey,女香,花香调,柠檬,柠檬马鞭草,风信子,茉莉,雪松
162,"梵克雅宝 午夜巴黎
Van Cleef & Arpels Midnight in Paris, 2010",8.2 分 511 人评价,梵克雅宝,Domitille Bertier,男香,东方调,皮革,零陵香豆,焚香,安息香脂,杏仁
163,"浪凡 我愿意（嫁给我）
Lanvin Marry Me, 2010",8.1 分 577 人评价,浪凡,Antoine Maisondieu,女香,花香果香调,茉莉,苦橙,桃子,小苍兰,木兰
164,"巴黎世家 花之密语
Balenciaga Florabotanica, 2012",8.5 分 308 人评价,巴黎世家,Jean-Christophe Herault,女香,绿叶花香调,玫瑰,薄荷,康乃馨,香根草,大麻
165,"约翰·瓦维托斯 暗黑革命
John Varvatos Dark Rebel, 2015",8.3 分 370 人评价,约翰·瓦维托斯,Rodrigo Flores-Roux,男香,木质东方调,皮革,烟草,朗姆酒,糖,香草
166,"香奈儿 水晶恋
Chanel Cristalle Eau de Toilette, 1974",8.9 分 202 人评价,香奈儿,Henri Robert,女香,柑橘馥奇香调,柠檬,橡木苔,风信子,香根草,香柠檬
167,"维特&罗夫 激情炸弹
Viktor&Rolf Spicebomb, 2012",8.3 分 366 人评价,维特&罗夫,Olivier Polge,男香,辛辣木质调,肉桂,粉红胡椒,烟草,藏红花,皮革
168,"普拉达 糖果
Prada Candy, 2011",8.2 分 429 人评价,普拉达,Daniela (Roche) Andrier,女香,东方美食调,焦糖,安息香脂,麝香,脂粉味,香草
169,"普拉达 鸢尾花（艾丽斯）
Prada Infusion d'Iris, 2007",8.2 分 412 人评价,普拉达,Daniela (Roche) Andrier,女香,木质花香调,鸢尾花,焚香,雪松,安息香脂,橙花
170,"娇兰 帝王之水
Guerlain Eau de Cologne Imperiale, 1860",8.4 分 312 人评价,娇兰,Pierre-Francois-Pascal Guerlain,女香,柑橘馥奇香调,柠檬,柑橘,柠檬马鞭草,橙花油,香柠檬
171,"娇兰 姬琪（掌上明珠）
Guerlain Jicky, 1889",8.7 分 215 人评价,娇兰,Aime Guerlain,女香,东方馥奇香调,薰衣草,柠檬,香草,迷迭香,香柠檬
172,"大卫杜夫 冷水女士
Davidoff Cool Water, 1996",7.7 分 1032 人评价,大卫杜夫,Pierre Bourdon,女香,水生花香调,柠檬,香瓜,莲花,睡莲,菠萝
173,"艾莉萨博 同名女士
Elie Saab Le Parfum, 2011",8.7 分 212 人评价,艾莉萨博,Francis Kurkdjian,女香,花香调,橙花,茉莉,蜂蜜,广藿香,玫瑰
174,"纳茜素 同名男士
Narciso Rodriguez for Him, 2007",8.5 分 255 人评价,纳茜素,Francis Kurkdjian,男香,馥奇香调,紫罗兰叶,广藿香,麝香,琥珀,树皮
175,"蒂埃里·穆勒 天使
Mugler Angel, 1992",8.1 分 404 人评价,蒂埃里·穆勒,Olivier Cresp,女香,东方美食调,棉花糖,广藿香,黑巧克力,焦糖,蜂蜜
176,"杜嘉班纳 真爱西西里（花朵）‍
Dolce&Gabbana Dolce, 2014",8 分 465 人评价,杜嘉班纳,None,女香,花香调,睡莲,橙花油,麝香,水仙花,木瓜花
177,"莎娃蒂妮 经典同名男士
Salvador Dali Pour Homme, 1987",8.4 分 253 人评价,莎娃蒂妮,Thierry Wasser,男香,东方馥奇香调,广藿香,橡木苔,檀香木,薰衣草,快乐鼠尾草
178,"王薇薇 公主
Vera Wang Princess, 2006",8 分 355 人评价,王薇薇,Harry Fremont,女香,东方花香调,香草,黑巧克力,番石榴,睡莲,提亚蕾花
179,"爱马仕 驿马车
Hermes Caleche, 1961",8.7 分 187 人评价,爱马仕,Guy Robert,女香,醛香花香调,醛,鸢尾花,橡木苔,柠檬,檀香木
180,"浪凡 玫瑰传说
Lanvin Rumeur 2 Rose, 2006",8.1 分 331 人评价,浪凡,Honorine Blanc,女香,花香果香调,柠檬,玫瑰,橙子,葡萄柚,香柠檬
181,"宝缇嘉 同名
Bottega Veneta, 2011",8.7 分 181 人评价,宝缇嘉,Michel Almairac,女香,花香甘苔调,皮革,橡木苔,广藿香,粉红胡椒,茉莉
182,"娇兰 一千零一夜绽放（初次）
Guerlain Shalimar Parfum Initial, 2011",8.5 分 209 人评价,娇兰,Thierry Wasser,女香,花香甘苔调,鸢尾花,香草,焦糖,广藿香,零陵香豆
183,"纪梵希 圆周率π派
Givenchy Pi, 1998",8.2 分 281 人评价,纪梵希,Alberto Morillas,男香,木质东方调,香草,杏仁,安息香脂,零陵香豆,橘子
184,"蒂埃里·穆勒 异型（琥珀）
Mugler Alien, 2005",8.3 分 234 人评价,蒂埃里·穆勒,Laurent Bruyere,女香,木质东方调,茉莉,琥珀,木质香,柑橘,绿叶
185,"凯文克莱 CK 诱惑男士（迷情）
Calvin Klein Euphoria Men, 2006",8.6 分 180 人评价,凯文克莱,Jean-Marc Chaillan,男香,木质馥奇香调,生姜,胡椒,罗勒,鼠尾草,雪松
186,"汤姆·福特 白色广藿香
Tom Ford White Patchouli, 2008",8.5 分 187 人评价,汤姆·福特,Givaudan,女香,花香甘苔调,广藿香,白色花系,芫荽,牡丹,黄葵
187,"香奈儿 感性魅力
Chanel Allure Sensuelle, 2005",8.3 分 201 人评价,香奈儿,Jacques Polge,女香,东方花香调,广藿香,香草,粉红胡椒,辛香料,檀香木
188,"娇兰 爱之鼓
Guerlain Chamade, 1969",8.3 分 194 人评价,娇兰,Jean-Paul Guerlain,女香,东方花香调,白松香,醛,风信子,玫瑰,妥鲁香脂
189,"卡伊 栀子花
Kai, 1999",8.4 分 182 人评价,卡伊,Gaye Straza Rappaport,女香,花香调,栀子花,白色花系,橙花,小苍兰,茉莉
190,"密使 同名香水
Agent Provocateur, 2000",8.1 分 238 人评价,密使,Christian Provenzano,女香,木质花香调,玫瑰,麝香,藏红花,香根草,雪松
191,"爱马仕 龙涎柑橘
Hermes Eau de Mandarine Ambrée, 2013",8.2 分 207 人评价,爱马仕,None,中性香,柑橘馥奇香调,橘子,百香果,琥珀,粉红胡椒,橙子
192,"卡地亚 龙之吻
Cartier Le Baiser Du Dragon, 2003",8.7 分 144 人评价,卡地亚,Alberto Morillas,女香,木质东方调,杏仁酒,杏仁,香根草,广藿香,安息香脂
193,"维特&罗夫 鲜花炸弹
Viktor&Rolf Flowerbomb, 2005",8 分 216 人评价,维特&罗夫,Dominique Ropion,女香,东方花香调,广藿香,兰花,茶叶,麝香,茉莉
194,"圣罗兰 M7乌木精纯
YSL Yves Saint Laurent La Collection M7 Oud Absolu, 2011",8.5 分 141 人评价,圣罗兰,None,男香,木质东方调,沉香(乌木),广藿香,没药,橘子,劳丹脂
195,"高田贤三 爱慕（千里之爱）
Kenzo Amour, 2006",8.1 分 184 人评价,高田贤三,Olivier Cresp,女香,东方美食调,香草,大米,鸡蛋花,樱花,天芥菜
196,"D二次方 我愿意木缘男士
DSQUARED² He Wood, 2007",8 分 209 人评价,D二次方,Daphne Bugey,男香,木质馥奇香调,紫罗兰,雪松,紫罗兰叶,香根草,冷杉
197,"圣罗兰
YSL Yves Saint Laurent M7, 2002",8.7 分 123 人评价,圣罗兰,Alberto Morillas,男香,木质东方调,沉香(乌木),琥珀,香根草,迷迭香,橘子
198,"娇兰 花草水语-柑橘绿茶
Guerlain Teazzurra, 2015",7.9 分 208 人评价,娇兰,Thierry Wasser,中性香,柑橘馥奇香调,茶叶,柠檬,洋甘菊,茉莉,日本柚子
199,"珍蒂毕丝 凡尔赛舞会
Jean Desprez Bal a Versailles, 1962",7.6 分 284 人评价,珍蒂毕丝,Jean Desprez,女香,东方调,麝猫香,树脂,妥鲁香脂,安息香脂,琥珀
